ID,Publish Time,Published,Title,Updated At,Closing Time
60,2021-11-13T08:00:00,false,International non-profit organization looking for Data Visualization & Dashboard Specialist,2022-06-23T07:18:58.762675,
69,2022-04-21T05:00:00,false,Zindi - Intern,2022-05-10T07:31:52.869969,2022-05-21T05:00:00
83,2022-09-20T12:00:00,false,Zindi Data Scientist,2022-09-29T11:08:24.411298,2022-10-20T12:00:00
71,2022-05-25T06:00:00,true,Microsoft Learn Student Ambassadors,2022-05-25T09:53:51.738117,
84,2022-09-20T08:00:00,true,Zanifu Data Analyst,2022-09-21T07:03:59.336766,2022-09-23
72,2022-05-25T06:00:00,true,Carscan - Computer Vision Intern,2022-05-25T10:30:55.171746,2022-07-25T06:00:00
76,2022-07-20T06:00:00,true,Boost - Lead Product Analyst,2022-07-20T12:55:36.454291,2022-08-20T06:00:00
73,2022-05-25T06:00:00,true,Carscan - Mobile Development Intern,2022-06-22T08:09:33.384695,2022-07-25T06:00:00
70,2022-05-25T06:00:00,true,Ishango.ai Fellowship,2022-07-25T08:40:21.846859,2022-09-01T06:00:00
74,2022-06-08T06:00:00,true,Project Manager,2022-06-08T11:58:02.530241,2022-07-01T06:00:00
77,2022-08-01T13:30:00,true,Assistant Technology Manager,2022-08-01T14:49:10.495946,2022-08-12T20:59:00
